"url","template","indexable","robots","canonical","in_sitemap"
"https://kindredtrips.com/resort/casa-de-campo-resort-and-villas","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/casa-de-campo-resort-and-villas","true"
"https://kindredtrips.com/resort/casa-dorada-los-cabos-resort-and-spa","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/casa-dorada-los-cabos-resort-and-spa","true"
"https://kindredtrips.com/resort/casa-margarita-hotel-boutique","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/casa-margarita-hotel-boutique","true"
"https://kindredtrips.com/resort/casa-marina-beach-and-reef","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/casa-marina-beach-and-reef","true"
"https://kindredtrips.com/resort/casa-velas","resort","false","noindex, follow","https://kindredtrips.com/resort/casa-velas","false"
"https://kindredtrips.com/resort/catalonia-bavaro-cana-golf-and-casino-resort","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/catalonia-bavaro-cana-golf-and-casino-resort","true"
"https://kindredtrips.com/resort/catalonia-bayahibe","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/catalonia-bayahibe","true"
"https://kindredtrips.com/resort/catalonia-grand-costa-mujeres-all-suites-and-spa","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/catalonia-grand-costa-mujeres-all-suites-and-spa","true"
"https://kindredtrips.com/resort/catalonia-montego-bay-all-inclusive-jul-1","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/catalonia-montego-bay-all-inclusive-jul-1","true"
"https://kindredtrips.com/resort/catalonia-playa-maroma","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/catalonia-playa-maroma","true"
"https://kindredtrips.com/resort/catalonia-riviera-maya","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/catalonia-riviera-maya","true"
"https://kindredtrips.com/resort/catalonia-royal-bavaro","resort","false","noindex, follow","https://kindredtrips.com/resort/catalonia-royal-bavaro","false"
